Id,SubjectPath,Topic,Question,Answer,DueDate,EaseFactor,IntervalDays,RepetitionCount,LastRating
2,תלמוד > בבלי,במה מדליקין,מה עיקר עניינו של פרק במה מדליקין?,"הפרק עוסק בחומרי ההדלקה והפתילה, בגדרי שמן הראוי לנר שבת, וביחס בין הידור המצוה לחשש כיבוי והטיה.",2026-03-31,2.50,0,0,
8,"תנ""ך > תורה > בראשית > פרק א > פסוק א",ייבוא מוצר,שאלת ייבוא,תשובת ייבוא,2026-03-31,2.50,0,0,
10,"תנ""ך > תורה > בראשית > פרק א > פסוק א",ייבוא מוצר,שאלת ייבוא,תשובת ייבוא,2026-03-31,2.50,0,0,
5,"רמב""ם > ספר מדע > הלכות יסודי התורה > פרק א > הלכה א","כרטיס אימות רמב""ם","מה נלמד בהלכה זו ברמב""ם?","זהו כרטיס בדיקה המשויך לרמת הלכה ברמב""ם לצורך אימות עץ הספרייה.",2026-03-31,2.50,0,0,
6,שולחן ערוך > אורח חיים > סימן א > סעיף א,כרטיס אימות שולחן ערוך,מה נלמד בסעיף זה?,זהו כרטיס בדיקה המשויך לרמת סעיף בשולחן ערוך לצורך אימות עץ הספרייה.,2026-03-31,2.50,0,0,
4,תלמוד > ירושלמי > סדר זרעים > ברכות > פרק א > הלכה א,כרטיס אימות תלמוד,מה נלמד בהלכה תלמודית זו?,זהו כרטיס בדיקה המשויך לרמת הלכה בירושלמי לצורך אימות עץ התלמוד.,2026-03-31,2.50,0,0,
3,תלמוד > ירושלמי,סמיכות גאולה לתפילה,כיצד מדגיש הירושלמי את הערך של סמיכות גאולה לתפילה?,"הירושלמי מדגיש את הרצף בין הזכרת הגאולה לבין העמידה לפני ה', ומתאר זאת כביטוי של אמונה חיה והישענות מלאה על גאולת ישראל.",2026-03-31,2.50,0,0,
1,תלמוד > בבלי,קריאת שמע של ערבית,מדוע מסכת ברכות פותחת בזמן קריאת שמע של ערבית?,"הפתיחה קושרת את קבלת עול מלכות שמים לסדרי היום ההלכתיים, וממקמת את עבודת האדם כבר מתחילת הלילה.",2026-03-31,2.50,0,0,
7,"תנ""ך > תורה > בראשית > פרק א > פסוק א",כרטיס מוצר 085007 ערוך,שאלת אימות מוצר ערוכה,תשובת אימות מוצר ערוכה,2026-04-01,2.50,1,1,Good
9,"תנ""ך > תורה > בראשית > פרק א > פסוק א",כרטיס מוצר 085216 ערוך,שאלת אימות מוצר ערוכה,תשובת אימות מוצר ערוכה,2026-04-01,2.50,1,1,Good
11,"תנ""ך > תורה > בראשית > פרק א > פסוק א",כרטיס מוצר 093152 ערוך,שאלת אימות מוצר ערוכה,תשובת אימות מוצר ערוכה,2026-04-01,2.50,1,1,Good
